Sample_Names	Total_Mutations	Cosine_similarity	L1_Norm	L1_Norm_%	100-L1_Norm_%	L2_Norm	L2_Norm_%	100-L2_Norm_%	KL_Divergence	Correlation
Biliary-AdenoCA@SP117655	14900	0.968	3740.449	25.104	74.896	532.066	25.166	74.834	0.0801	0.934
Biliary-AdenoCA@SP117556	5088	0.963	1327.287	26.087	73.913	197.495	26.842	73.158	0.0693	0.926
Biliary-AdenoCA@SP117627	5923	0.973	1624.954	27.435	72.565	217.846	23.115	76.885	0.0652	0.954
Biliary-AdenoCA@SP117775	12411	0.987	2296.285	18.502	81.498	308.669	15.835	84.16499999999999	0.0346	0.978
Biliary-AdenoCA@SP117332	3456	0.987	698.878	20.222	79.77799999999999	93.418	16.063	83.937	0.0508	0.98
Biliary-AdenoCA@SP117712	11307	0.948	3355.552	29.677	70.32300000000001	473.546	32.455	67.545	0.0754	0.863
Biliary-AdenoCA@SP117017	6562	0.951	1961.926	29.898	70.102	331.555	30.933	69.06700000000001	0.0742	0.918
Biliary-AdenoCA@SP117031	9968	0.976	2213.82	22.209	77.791	329.041	21.953	78.047	0.0521	0.954
Biliary-AdenoCA@SP117759	13310	0.982	2911.996	21.878	78.122	400.305	19.067	80.93299999999999	0.0484	0.968
Biliary-AdenoCA@SP117621	12874	0.989	2297.565	17.847	82.15299999999999	322.325	15.002	84.998	0.0305	0.982
Biliary-AdenoCA@SP117425	13809	0.996	1981.635	14.35	85.65	280.86	8.95	91.05	0.0307	0.995
Biliary-AdenoCA@SP117930	12838	0.966	3083.147	24.016	75.98400000000001	442.559	26.121	73.879	0.0562	0.913
Biliary-AdenoCA@SP99287	3499	0.967	877.315	25.073	74.92699999999999	112.435	25.473	74.527	0.052	0.902
Biliary-AdenoCA@SP99293	8684	0.968	2049.145	23.597	76.40299999999999	292.672	25.115	74.885	0.0487	0.923
Biliary-AdenoCA@SP99289	16421	0.978	3671.568	22.359	77.64099999999999	470.07	20.983	79.017	0.0496	0.949
Biliary-AdenoCA@SP99297	1638	0.921	617.331	37.688	62.312	88.36	39.043	60.957	0.1294	0.816
Biliary-AdenoCA@SP99301	9764	0.965	3399.455	34.816	65.184	532.846	26.326	73.674	0.1403	0.954
Biliary-AdenoCA@SP99305	3820	0.96	1027.121	26.888	73.112	140.48	28.175	71.825	0.0603	0.894
Biliary-AdenoCA@SP99309	5819	0.95	1639.976	28.183	71.81700000000001	237.527	31.11	68.89	0.0698	0.869
Biliary-AdenoCA@SP99313	8146	0.974	1778.189	21.829	78.17099999999999	238.537	22.53	77.47	0.0392	0.932
Biliary-AdenoCA@SP99317	1481	0.945	475.131	32.082	67.918	66.213	33.043	66.957	0.0767	0.875
Biliary-AdenoCA@SP99321	3583	0.981	868.812	24.248	75.752	112.959	19.627	80.373	0.0616	0.967
Biliary-AdenoCA@SP99325	206529	0.98	44683.488	21.635	78.365	6605.445	19.815	80.185	0.0476	0.967
Biliary-AdenoCA@SP99329	9914	0.959	2349.718	23.701	76.299	337.16	28.453	71.547	0.0566	0.844
Biliary-AdenoCA@SP99333	2681	0.966	708.846	26.44	73.56	93.514	26.041	73.959	0.062	0.916
Biliary-AdenoCA@SP99337	3914	0.967	971.22	24.814	75.186	128.451	26.117	73.883	0.05	0.907
Biliary-AdenoCA@SP99341	3781	0.96	997.035	26.37	73.63	132.877	28.231	71.769	0.0744	0.873
Biliary-AdenoCA@SP99345	3832	0.972	786.777	20.532	79.468	113.073	23.442	76.55799999999999	0.0384	0.916
Biliary-AdenoCA@SP99113	2503	0.937	836.849	33.434	66.566	115.924	34.88	65.12	0.0988	0.838
Biliary-AdenoCA@SP99185	8962	0.969	2145.376	23.939	76.061	279.174	24.903	75.09700000000001	0.0487	0.903
Biliary-AdenoCA@SP99209	10105	0.967	2477.397	24.517	75.483	324.075	25.833	74.167	0.0657	0.898
Biliary-AdenoCA@SP99213	5457	0.968	1310.793	24.02	75.98	192.769	25.213	74.787	0.0719	0.932
Biliary-AdenoCA@SP99221	1628	0.945	528.288	32.45	67.55	70.229	32.767	67.233	0.0897	0.855
Biliary-AdenoCA@SP99225	3449	0.967	881.412	25.556	74.444	113.996	25.762	74.238	0.0504	0.913
Biliary-AdenoCA@SP99241	18009	0.969	4409.795	24.487	75.513	577.717	24.634	75.366	0.055	0.919
Bladder-TCC@SP1086	15354	0.982	3575.038	23.284	76.71600000000001	483.129	18.935	81.065	0.0498	0.971
Bladder-TCC@SP1003	25212	0.996	4192.659	16.63	83.37	573.52	8.675	91.325	0.036	0.996
Bladder-TCC@SP1677	31114	0.996	4801.518	15.432	84.568	799.014	8.79	91.21000000000001	0.0369	0.996
Bladder-TCC@SP1305	36432	0.968	7704.339	21.147	78.85300000000001	1194.228	25.205	74.795	0.0372	0.914
Bladder-TCC@SP963	34116	0.998	3738.699	10.959	89.041	709.041	6.433	93.56700000000001	0.0236	0.998
Bladder-TCC@SP1144	20222	0.995	3162.128	15.637	84.363	486.737	9.789	90.211	0.0327	0.994
Bladder-TCC@SP1132	18936	0.959	5001.744	26.414	73.586	706.161	28.494	71.506	0.0623	0.893
Bladder-TCC@SP1712	9910	0.995	1601.527	16.161	83.839	280.471	9.717	90.283	0.0354	0.995
Bladder-TCC@SP1114	12531	0.935	4632.186	36.966	63.034	664.702	35.432	64.568	0.1147	0.875
Bladder-TCC@SP1431	8970	0.994	1592.658	17.755	82.245	252.179	10.712	89.288	0.0358	0.993
Bladder-TCC@SP975	19689	0.982	3452.109	17.533	82.467	471.077	18.929	81.071	0.0427	0.952
Bladder-TCC@SP1059	59185	0.993	10063.996	17.004	82.996	1372.848	12.113	87.887	0.0278	0.99
Bladder-TCC@SP1419	12575	0.987	2176.977	17.312	82.688	315.05	15.972	84.028	0.0334	0.978
Bladder-TCC@SP1009	13451	0.995	2090.555	15.542	84.458	271.95	9.94	90.06	0.023	0.993
Bladder-TCC@SP1724	14030	0.997	1946.456	13.874	86.126	298.423	7.372	92.628	0.0316	0.997
Bladder-TCC@SP96136	51896	0.998	5822.63	11.22	88.78	849.75	6.169	93.831	0.0198	0.998
Bladder-TCC@SP967	3451	0.967	998.308	28.928	71.072	150.634	25.495	74.505	0.0756	0.948
Bladder-TCC@SP1781	38004	0.996	4984.636	13.116	86.884	1193.561	9.193	90.807	0.0292	0.995
Bladder-TCC@SP1174	13331	0.987	2625.985	19.698	80.30199999999999	375.872	16.304	83.696	0.0407	0.979
Bladder-TCC@SP953	34842	0.991	7169.642	20.578	79.422	1074.239	13.073	86.92699999999999	0.0494	0.989
Bladder-TCC@SP1377	10131	0.996	1546.976	15.27	84.73	232.794	9.372	90.628	0.036	0.995
Bladder-TCC@SP1365	9621	0.988	1583.56	16.459	83.541	217.284	15.368	84.632	0.0337	0.978
Bladder-TCC@SP1491	12007	0.986	2239.278	18.65	81.35	310.315	16.451	83.549	0.0361	0.977
Bone-Benign@SP116536	1627	0.966	395.243	24.293	75.707	55.715	25.784	74.21600000000001	0.0594	0.916
Bone-Benign@SP116539	670	0.911	256.122	38.227	61.773	38.013	41.348	58.652	0.1351	0.786
Bone-Benign@SP116542	773	0.927	285.596	36.946	63.054	39.787	37.604	62.396	0.1162	0.828
Bone-Benign@SP116545	628	0.941	203.823	32.456	67.544	28.293	33.923	66.077	0.1004	0.851
Bone-Benign@SP116548	842	0.9	368.907	43.813	56.187	52.128	45.544	54.456	0.1861	0.78
Bone-Benign@SP116550	361	0.899	167.324	46.35	53.65	22.987	44.084	55.916	0.2256	0.791
Bone-Benign@SP116553	631	0.898	276.803	43.867	56.133	38.56	43.918	56.082	0.1856	0.764
Bone-Benign@SP116557	372	0.877	189.448	50.927	49.073	24.834	48.187	51.813	0.2778	0.707
Bone-Benign@SP116559	880	0.917	307.941	34.993	65.007	46.484	40.105	59.895	0.1296	0.778
Bone-Benign@SP116562	1062	0.878	479.327	45.134	54.866	68.837	50.684	49.316	0.1768	0.692
Bone-Benign@SP116564	737	0.92	269.127	36.517	63.483	38.091	39.269	60.731	0.1055	0.787
